for_disabled,company,full_time,min_salary,title,for_students,max_salary,degree_required,half_time,experience
False,Ners,True,12000,"Контент-менеджер, администратор сайта",False,15000,False,False,2
True,"Медстар Солюшенс, ООО",True,,Менеджер технической поддержки (call-центр),False,,False,False,1
False,GlobalLogic Ukraine,True,,"Trainee QA Engineer (Manual/Automation, IRC103994)",False,,False,False,1
False,"Apple Room, мережа магазинів",True,10000,"Продавець-консультант техніки Apple (ТРЦ ""Караван"")",False,15000,False,False,1
False,Sandi+,True,13000,SMM-менеджер,False,20000,False,False,2
False,Green optima,True,13000,Интернет-маркетолог,True,13000,False,False,1
False,"Троценко О.О., ФОП",True,,SMM specialist (Amazon),False,,False,False,1
False,MaybeWorks,True,,Strong Junior JavaScript Developer,True,,False,False,1
False,DataArt,True,,Business Analyst (Finance Practice),False,,False,False,2
False,MDconsult,True,70000,Middle .NET Developer,False,70000,False,False,5
False,Symbol,True,,Программист 1С,False,,False,False,5
False,WordFactory,True,,"Автор текстов (английский, русский)",False,,False,True,1
False,DataArt,True,,"Front-End Developer (Angular, Fintech Solutions)",False,,False,False,2
False,DataArt,True,,Senior Webmaster,False,,False,False,2
False,Santan,True,,ИТ-директор,False,,False,False,5
False,Студия HR решений,True,,"Инженер-электроник, embedded engineer",False,,False,False,2
False,"Данюк А.А., ФЛП",True,18000,Дизайнер для интернет-проектов,False,28000,False,False,2
False,DataArt,True,,Resource Manager,False,,False,False,2
False,ТАТА Мотоблок,True,,Аналитик,False,,False,False,1
False,С3Vision Украина,False,,Программист,True,,False,True,
False,Itransition,True,,PHP Middle Developer,False,,False,False,2
False,"Above Bits, LLC",True,30000,Full Stack PHP WordPress Developer,False,45000,False,False,2
False,Itransition,True,,.Net Middle Developer,False,,False,False,2
False,Мигом,True,8000,Младший SEO-специалист,True,15000,False,False,1
False,Itransition,True,,RPA Developer,False,,False,False,1
True,Paravoz Group,False,,SMM-специалист,False,,False,False,2
False,GlobalLogic Ukraine,True,,Linux Developer (IRC100954),False,,False,False,2
False,GlobalLogic Ukraine,True,,"Test Engineer (AQA, Python, IRC105026)",False,,False,False,2
False,IFS Ukraine,True,,BI Developer,False,,False,False,2
False,"Медстар Солюшенс, ООО",True,,Системный администратор (медицинский домен),False,,False,False,2
False,SHO?! Art & Data,True,40000,Middle PHP Developer,True,70000,False,False,2
False,Aimprosoft,True,,Junior .Net Developer,False,,False,False,1
False,Macuser,True,10000,Менеджер в интернет-магазин (техника Apple),True,10000,False,False,1
False,Aimprosoft,True,,Middle Java developer,False,,False,False,2
False,Ритейл Софт Консалтинг,True,15500,Специалист технической поддержки,False,15500,False,False,1
False,GlobalLogic Ukraine,True,,.Net developer (IRC104387),False,,False,False,2
False,Quod Financial,True,,Trainee/Junior C++ Developer,True,,False,False,
False,Sigma Software,True,,Senior Python Developer With AWS (Automotive Domain) в Киев,False,,False,False,5
False,GlobalLogic Ukraine,True,,Lead .Net Developer for a healthcare project (IRC107346),False,,False,False,5
False,Sigma Software,True,,Junior Project Manager,False,,False,False,2
False,Sigma Software,True,,Junior .NET Developer (Real Estate Project),False,,False,False,1
False,EZLO Smart Home Automation,True,,C++ developer,False,,False,False,2
False,DataArt,True,,"Junior UI/UX Designer (Media, Entertainment Practice)",False,,False,False,1
False,"Грант, АТ",True,,Спеціаліст відділу супроводу автоматизованої банківської системи,False,,False,False,2
False,Модный Остров&Dressa,True,10000,Системный администратор,False,12000,False,False,1
False,ТАТА Мотоблок,True,,Продакт-менеджер,False,,False,False,1
False,GlobalLogic Ukraine,True,,Senior C# AQA Engineer (IRC107398),False,,False,False,2
False,GlobalLogic Ukraine,True,,Project Manager for Embedded Medical (IRC100975),False,,False,False,5
False,Xado Chemical Group,True,,"Менеджер по работе с интернет-площадками (eBay, Amazon, социальные сети)",False,,False,False,2
False,Zakupka.com,True,13000,Администратор баз данных,False,13000,False,False,1
False,Quod Financial,True,,"Technical Support, Client Integration engineer",True,,False,False,
False,ITCraft,True,,Wordpress Developer,False,,False,False,1
False,DataArt,True,,Senior C++ Developer (Financial Analytics System),False,,False,False,5
False,DataArt,True,,Middle JavaScript (React.js) Engineer,False,,False,False,5
False,ITCraft,True,,Strong Middle Node.JS developer,False,,False,False,2
False,DataArt,True,,Senior Project Manager (Hospital Health System),False,,False,False,5
False,ITCraft,True,,Middle ReactJS Developer,False,,False,False,2
False,Cifra Agency,True,,Web-дизайнер,True,,False,False,2
False,Netpeak,True,,Junior PPC Specialist,True,,False,False,1
False,Symbol,True,,Аналитик баз данных 1С,False,,False,False,2
False,Quod Financial,True,11000,QA Automation Engineer trainee/junior (Python OR Java),True,28000,False,False,
False,GlobalLogic Ukraine,True,,Associate Project Manager (IRC107146),False,,False,False,1
False,GlobalLogic Ukraine,True,,"Technology Manager (QA, IRC106087)",False,,False,False,1
True,GranSoft,True,,"Middle, Senior Developer, специалист Java",False,,False,False,2
False,GlobalLogic Ukraine,True,,Senior DevOps Engineer (IRC106131),False,,False,False,5
False,Adelina Call Center,True,8000,"Специалист по поддержке клиентов (call-center, русский язык)",True,8500,False,True,
False,"Kiberone, IT-школа",True,7000,"Таргетолог, SMM-специалист",True,30000,False,False,1
False,G5 Entertainment,True,,PHP developer,False,,False,False,1
False,Gameloft,True,,Webtools Frontend Developer (Angular),False,,False,False,2
False,Top Peak Digital,True,14000,Веб-розробник,True,15000,False,False,1
False,"Аметрин ФК, ООО",True,,Системный администратор,False,,False,False,1
False,Aimprosoft,True,,Middle Hybris Platform Developer,False,,False,False,2
False,X100 Holding,True,18000,Технический писатель,False,25000,False,False,1
True,GranSoft,True,,"Junior, Middle Developer, разработчик Java",True,,False,False,1
False,GlobalLogic Ukraine,True,,"Lead Data Engineer (Python, IRC104739)",False,,False,False,5
False,Webspark,True,,Business Analyst,False,,False,False,1
False,Quod Financial,True,,Junior QA Manual Engineer,True,,False,False,1
False,Adelina Call Center,True,7500,Консультант лінії підтримки клієнтів,True,8000,False,True,
False,CS,True,,"Trainee SQL, PL/SQL Developer",False,,False,False,
False,"Интернет-медиа, РА",True,38000,Middle PHP Developer в Киев,False,56000,False,False,1
False,GlobalLogic Ukraine,True,,"Trainee DevOps Engineer (Scalability, IRC106762)",False,,False,False,1
False,Клуб Семейного Досуга,True,,Аналітик,False,,False,False,2
True,Golden Plaza,True,10000,"Администратор, контент-менеджер сайта",False,10000,False,False,1
False,GlobalLogic Ukraine,True,,Middle Java Developer (IRC99820),False,,False,False,2
False,"Медстар Солюшенс, ООО",True,,Бизнес-аналитик,False,,False,False,2
False,ТАТА Мотоблок,True,,Интернет-маркетолог,False,,False,False,2
False,Quod Financial,True,,Junior Database developer,False,,False,False,1
False,Aimprosoft,True,,Senior Hybris Platform Developer,False,,False,False,5
False,"Омега, ООО",True,,Программист 1C,False,,False,False,2
True,"Гаман О.С., ФЛП",True,100,Программист 1С,False,25000,False,False,1
False,Svitla Systems Inc.,True,20000,"Business Development Manager, Lead Generation Manager",False,20000,False,False,1
False,FRC Professional Cosmetics,False,,SMM-менеджер,False,,False,False,1
False,"Zone3000, IT-company",True,,System Administrator (Windows),False,,False,False,2
False,Maxi Group International,True,12000,Системный администратор,False,12000,False,False,1
False,"Zone3000, IT-company",True,,Business analyst,False,,False,False,2
False,Cience Technologies Inc.,True,,Data Researcher,False,,False,False,
False,АС Бизнес,True,10000,Программист 1С,False,25000,False,False,5
False,Slice Planet,True,,IT Project manager,False,,False,False,2
False,Inmost,True,,IT Sales Manager,True,,False,False,1
True,Bookmap,True,30000,Разработчик Java,True,90000,False,False,1
False,"Джеотех, ТОВ",True,,Customer Support Specialists,False,,False,False,2
False,Golden Bank Staff,True,28000,"Разработчик React, Angularjs 1.6, nodejs, javascript-программист в Киев",False,56000,False,False,1
False,DataArt,True,,"QA Automation Engineer with Appium, Financial Services",False,,False,False,2
False,HR21,True,40000,Android-розробник,False,40000,False,False,2
False,Netronic,True,,Project manager,False,,False,False,1
False,Multi-Programming Solutions,True,30000,Middle QA Engineer,False,30000,False,True,2
False,"Хамелеон софт, ООО",True,8000,"Оператор call-центра, технической поддержки",False,8000,False,False,
False,CS,True,,Бизнес-аналитик,False,,False,False,2
False,"Zone3000, IT-company",True,,UX/UI-дизайнер,False,,False,False,2
False,Aweb Systems,True,2000,"Контент-менеджер, верстальщик",False,5000,False,False,
False,"Zone3000, IT-company",True,,"Junior Technical Operations Engineer, Linux System Administrator",False,,False,False,1
True,Mobecls,True,20000,Magento PHP-разработчик,True,55000,False,False,1
False,"Аметрин ФК, ООО",True,18000,Программист 1C,False,27000,False,False,1
False,WebFullSet,True,,"Backend-программист (PHP, Laravel, + VueJS)",False,,False,False,2
False,Ronis,True,,PHP developer,True,,False,False,1
False,"Джеотех, ТОВ",True,,Data Analyst,False,,False,False,1
False,Meer industrial group,True,15000,"Оператор, наладчик, программист, технолог станков с ЧПУ",False,25000,False,False,5
False,Украинские Ветеринарные Технологии,True,,Интернет-маркетолог,False,,False,False,2
False,Software Development Hub,True,,QA-інженер,False,,False,False,1
False,SoftermiiBPO,True,,Customer support manager,True,,False,False,2
False,Sigma Software,True,,Senior Java Developer (Integration Project),False,,False,False,5
False,ITCraft,True,,"Strong Middle Full Stack (.Net, Angular) developer",False,,False,False,2
False,ITCraft,True,,"Senior Full Stack (.Net, Angular) developer",False,,False,False,5
False,ITCraft,True,,DevOps Engineer,False,,False,False,2
False,ITCraft,True,,Middle DevOps Engineer,False,,False,False,1
False,Sigma Software,True,,"Senior Embedded Engineer, Team Lead",False,,False,False,5
False,"Vega, телекоммуникационная группа",True,,Системный аналитик,False,,False,False,1
False,Sigma Software,True,,Middle/Senior Front-end Developer (Energetics/Fintech project),False,,False,False,2
False,DataArt,True,,QA Automation Trainee,False,,False,False,1
False,Gameloft,True,,UI Integrator,False,,False,False,2
False,Top Peak Digital,True,14000,IT Sales manager,True,14000,False,False,1
False,Inmost,True,,"Lead generation manager, лидогенератор",True,,False,False,
False,"Zone3000, IT-company",True,,"Middle Technical Operations Engineer, Linux System Administrator",False,,False,False,2
False,Web Design Sun,True,16000,Full Stack Web Developer,True,28000,False,False,1
False,MaybeWorks,True,,Trainee Javascript Developer,True,,False,False,
True,Институт Южгипроцемент,True,8000,Системний адміністратор,True,9000,False,False,1
False,Netronic,True,,Программист микроконтроллеров,False,,False,False,2
False,Ronis,True,,IT Project Manager,False,,False,False,1
False,"Zone3000, IT-company",True,,Linux System Administrator,False,,False,False,2
False,Verna,True,,Менеджер в отдел техподдержки,False,,False,False,1
False,DataArt,True,,MS SQL DB Engineer (Portfolio Management System),False,,False,False,2
False,Новые Знания,True,,PHP developer,False,,False,False,1
False,G5 Entertainment,True,,Game UI/UX Designer,False,,False,False,1
False,Macuser,True,30000,Web developer (PHP),False,30000,False,False,1
False,Zakupka.com,True,30000,Front-end developer (middle),False,37000,False,False,2
False,"Джеотех, ТОВ",True,,Project Manager,False,,False,False,2
False,Verna,True,,Системный администратор,True,,False,False,1
False,"Хамелеон софт, ООО",True,10000,Выездной инженер технической поддержки,False,10000,False,False,1
False,Sigma Software,True,,Middle/Senior Project Manager (Web and Mobile Solutions Department),False,,False,False,2
False,Productech,True,16500,Amazon PPC-специалист,False,28000,False,False,1
False,MyCredit,True,,Senior PHP Developer,False,,False,False,5
False,"Zone3000, IT-company",True,,Middle/Senior Network Engineer,False,,False,False,2
False,"Черкас И.Н., ФЛП",True,35000,Программист 1C,False,35000,False,False,1
False,"

            Компания скрыта
        ",True,,Программист 1C,False,,False,False,2
False,Sigma Software,True,,Department Coordinator (Embedded),False,,False,False,2
False,CS,True,,Mobile QA Engineer,False,,False,False,1
True,MaybeWorks,True,,Junior JavaScript Developer,True,,False,False,1
False,Gameloft,True,,UI/UX Designer,False,,False,False,2
False,Ромкос,True,12000,Контент-менеджер (SMM),False,15000,False,True,2
False,Netronic,True,,Системный администратор,False,,False,False,2
False,"Zone3000, IT-company",True,,Datacenter Operations Engineer,False,,False,False,1
False,"Фрунзе, завод",True,7000,"PHP-разработчик, верстальщик",False,8000,False,False,2
False,"Zone3000, IT-company",True,,Data analyst (marketing),False,,False,False,2
False,"Zone3000, IT-company",True,12500,Специалист технической поддержки,True,12500,False,False,
False,CodeTiburon,True,,Full-stack (.NET/Angular) Developer,False,,False,False,2
False,BillWebStudio,True,15000,Front-end developer to Nikolaev,False,36000,False,True,2
True,"Абитек, ООО",True,12000,Специалист внедрения и поддержки,True,12000,False,False,2
False,Той-Той Трейд,True,15000,Интернет-маркетолог (SMM),False,15000,False,False,1
False,Cactus,True,10000,SMM-менеджер,False,15000,False,False,1
False,"Квадрат, digital-агентство",True,,"SMM-специалист, таргетолог, арбитражник в Киев",False,,False,False,
False,Pharmbills,True,15125,IT System Administrator (fluent English),False,550650,False,False,1
False,"Brand U!, digital-агентство",True,10000,Support manager,True,10000,False,False,
False,"АкваАналитикс Украина, ООО",True,15000,Контент-менеджер,False,20000,False,False,1
False,CHI Software,True,,IT Business Analyst,False,,False,False,2
False,Intertool,True,,Junior Web Developer,False,,False,False,1
False,"Стем Компания, ООО",True,,"Python, Django Developer",False,,False,False,
False,Itransition,True,,Android Senior Developer,False,,False,False,5
False,Itransition,True,,Ruby on Rails Middle Developer,False,,False,False,1
False,Itransition,True,,IOS Middle Developer,False,,False,False,1
True,"Никандров А., ФЛП",True,600,Middle UI/UX designer,True,70000,False,False,1
False,E-Commerce Company (Florida),True,9000,Администратор интернет-магазина,False,11200,False,False,1
False,Ancom Group,True,12000,Мастер по ремонту телефонов,False,12000,False,False,1
False,GameLab,True,8000,Unity3D C# developer,False,10000,False,False,1
True,DMD,True,,QA Engineer,True,,False,False,1
False,"Троценко О.О., ФОП",True,,PPC-специалист,False,,False,False,2
False,VisiQuate,True,,"Business Analyst (Database Development, US Healthcare)",False,,False,False,2
False,VisiQuate,True,,Data Reporting Analyst,False,,False,False,2
False,Protoq,True,,Front-end developer,True,,False,False,1
False,"Академия Смарт, ООО",True,,Senior PHP developer (Laravel),False,,False,False,5
False,"Академия Смарт, ООО",True,,Project Manager​,False,,False,False,1
False,Avaza Group,True,,"Unity Developer (Hyper Casual, Middle/Senior)",False,,False,False,2
False,"Академия Смарт, ООО",True,,Middle QA Engineer,False,,False,False,2
True,Probox,True,20000,Project Manager,False,45000,False,False,1
False,"Сиол, ООО",True,10000,Монтажник по подключению интернета (с обучением),False,15000,False,False,1
False,"Лавриненко О.С., ФОП",True,,Android developer,False,,False,False,1
False,Mobecls,True,70000,Magento-разработчик,True,110000,False,False,2
False,"Інстинкт сонця, ТОВ",False,,SMM-менеджер (медицина),False,,False,True,1
False,Imaris,True,20000,Middle PPC Specialist,False,30000,False,False,2
False,APIbest LLC,True,7000,"Lead generation manager, лидогенератор",True,10000,False,False,1
False,WhiteBIT,True,,Community manager,True,,False,False,
False,Vetra Media,True,,"Research Software Engineer, Information security specialist",False,,False,False,2
False,Opinion Corp,True,,"Community, SMM, PR manager",False,,False,False,1
False,Opinion Corp,False,,"Community, SMM manager",False,,False,True,1
False,Vetra Media,True,,Senior Front End Developer,False,,False,False,5
False,Morris,True,14000,"Таргетолог, PPC-специалист",False,17000,False,False,1
False,Scrumlaunch,True,35000,Back-End .Net Developer,False,55000,False,True,2
False,The Focus,True,10000,Таргетолог (SMM),False,15000,False,False,1
False,Региональный Медицинский Центр,True,,Программист системный,False,,False,False,1
False,Sporty Systems,True,,Middle QA Engineer,False,,False,False,2
False,"Данюк А.А., ФЛП",True,15000,"Специалист по интернет-рекламе, руководитель отдела",False,50000,False,False,2
False,GSanimation,True,15000,ZBrush-моделер,False,27000,False,True,
False,QA Madness,True,,Junior QA Engineer (Web Testing Team),False,,False,False,1
False,Diasphere,True,3,"BIM specialist, modeler (Revit)",True,28000,False,False,
False,Hurma System,True,,PHP developer,False,,False,True,2
False,Qualium Systems,True,,Junior Unity Developer,True,,False,False,1
False,WinService,True,10000,Монтажник з підключення інтернету,False,15000,False,False,
False,Magecom,True,,Project manager,False,,False,False,2
False,Magecom,True,,Magento Frontend developer,False,,False,False,2
False,Magecom,True,,Magento Backend Developer,False,,False,False,2
False,Connectic,True,8000,Менеджер по обработке интернет-заказов,True,8000,False,False,
False,"Региональный Центр Новых Информационных Технологий, ООО",False,10000,Преподаватель курса тестировщиков QA,False,10000,False,True,2
False,Asper,True,18500,PHP (Opencart) Developer,False,18500,False,False,1
False,Faifly,True,,Junior Front-end developer,True,,False,False,
True,Мобинет Украина,True,10000,Инженер техподдержки в отдел GPS-мониторинга,True,14000,False,False,1
False,"ЗАО НДІРВ, ДП",True,,Начальник групи проектування пристроїв ЦОС і розробки вбудованого ПЗ ПЛІС,False,,False,False,5
False,TerryConfort,True,10000,Администратор интернет-магазина,False,10000,False,False,1
False,Arpo,True,,Lead Generation manager,False,,False,False,1
False,Аналитика IT,True,13000,"Контент-менеджер, аналитик",False,13000,False,False,1
False,WhiteBIT,True,,Customer support representative,True,,False,False,
False,"КТС, ООО",True,8000,Технік з підключення інтернету,True,15000,False,False,1
True,"Ткаченко О.О., ФОП",True,6000,Контент-менеджер,True,6000,False,False,1
False,Interlogistic,True,14000,Project Manager,False,19000,False,False,1
False,"Платонов А.В., ФЛП",True,9000,"Менеджер интернет-магазина цифровой техники, электроники и фототехники",True,9000,False,False,1
False,Adavice,True,,Junior Web designer,False,,False,False,
False,"Профессионал, ИТЦ",True,8000,Менеджер по продажам программного обеспечения,False,12000,False,False,
True,7N,True,8000,Менеджер по работе с клиентами (e-commerce),True,18000,False,False,1
